tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
More than 5 years,2.0,I’m 20% more productive when working remotely,1959,"Professional, Scientific and Technical Services",Strongly agree,Strongly agree,Strongly agree,90%,No,73,8.0,9.0,Single person,3.0,2.0,60%,80%,Female,Professionals,Somewhat disagree,I am the only employee,4.0,Strongly agree,1.0,Strongly agree,Strongly agree,Strongly agree,2020,3.0,Metro
More than 5 years,5.0,My productivity is about same when I work remotely,1985,"Professional, Scientific and Technical Services",Neither agree nor disagree,Somewhat disagree,Strongly agree,50% - About half of my time,No,74,8.0,9.0,Couple with dependent children,2.0,3.0,10%,20%,Female,Professionals,Somewhat disagree,Between 20 and 199,3.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,2.5,Metro
More than 5 years,4.0,I’m 50% more productive when working remotely (or more),1985,Education and Training,Somewhat disagree,Somewhat disagree,Somewhat agree,60%,No,75,8.0,6.0,Couple with dependent children,1.0,3.0,90%,50% - About half of my time,Female,Professionals,Somewhat disagree,Between 20 and 199,6.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Strongly agree,2020,3.0,Metro
More than 5 years,0.5,I’m 50% more productive when working remotely (or more),1992,Information Media and Telecommunications,Strongly agree,Strongly agree,Strongly agree,80%,Yes,76,7.5,7.5,Single person,5.0,0.5,50% - I spent about half of my time remote working,40%,Female,Managers,Somewhat agree,Between 5 and 19,7.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.5,Metro
Between 1 and 5 years,1.0,I’m 20% more productive when working remotely,1961,Arts and Recreation Services,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,40%,Yes,77,6.0,7.0,Single person,4.0,1.0,40%,40%,Female,Managers,Neither agree nor disagree,I am the only employee,3.0,Neither agree nor disagree,2.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2020,3.0,Regional
More than 5 years,1.0,I’m 20% more productive when working remotely,1973,Financial and Insurance Services,Somewhat agree,Somewhat agree,Somewhat agree,90%,No,78,2.0,5.0,Couple with dependent children,1.0,1.0,30%,20%,Male,Technicians and trades ,Somewhat agree,More than 200,1.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,3.0,Metro
More than 5 years,4.0,My productivity is about same when I work remotely,1963,Information Media and Telecommunications,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,No,79,7.0,7.0,Couple with dependent children,1.0,4.0,Less than 10% of my time,40%,Female,Managers,Strongly agree,I am the only employee,3.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,3.0,Metro
More than 5 years,1.0,I’m 40% more productive when working remotely,1968,Information Media and Telecommunications,Strongly agree,Strongly agree,Strongly agree,90%,Yes,80,10.0,11.0,Couple with dependent children,1.0,1.0,30%,30%,Male,Professionals,Strongly agree,Between 5 and 19,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,4.0,I’m 10% less productive when working remotely,1961,Manufacturing,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,40%,Yes,81,6.0,5.0,Couple with no dependent children,5.0,4.0,30%,60%,Male,Managers,Strongly agree,Between 20 and 199,8.0,Strongly agree,0.5,Strongly disagree,Strongly disagree,Strongly agree,2020,3.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1968,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,Yes,82,10.0,2.5,Couple with no dependent children,2.0,3.0,50% - I spent about half of my time remote working,50% - About half of my time,Male,Managers,Neither agree nor disagree,Between 5 and 19,2.0,Somewhat disagree,0.5,Strongly agree,Strongly agree,Neither agree nor disagree,2020,2.5,Metro
Between 1 and 5 years,1.0,I’m 10% more productive when working remotely,1964,Public Administration and Safety,Somewhat agree,Neither agree nor disagree,Strongly agree,60%,No,83,7.0,7.0,Couple with no dependent children,15.0,1.0,Less than 10% of my time,Less than 10% of my time,Male,Community and personal service ,Somewhat agree,More than 200,15.5,Somewhat agree,0.5,Strongly agree,Strongly agree,Neither agree nor disagree,2020,1.0,Metro
More than 5 years,4.0,My productivity is about same when I work remotely,1969,Information Media and Telecommunications,Somewhat agree,Neither agree nor disagree,Somewhat agree,70%,No,84,7.6,7.6,One  parent family with dependent children,2.0,3.0,Less than 10% of my time,Less than 10% of my time,Male,Managers,Neither agree nor disagree,More than 200,4.5,Somewhat agree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2020,3.5,Metro
Between 1 and 5 years,4.0,I’m 50% more productive when working remotely (or more),1968,Manufacturing,Strongly agree,Somewhat agree,Strongly agree,70%,Yes,85,7.0,8.0,Couple with dependent children,2.0,2.0,20%,50% - About half of my time,Male,Managers,Somewhat agree,More than 200,4.0,Strongly agree,1.0,Strongly agree,Strongly agree,Strongly agree,2020,6.0,Metro
Between 6 and 12 months,2.0,My productivity is about same when I work remotely,1965,Retail Trade,Somewhat agree,Somewhat agree,Strongly agree,30%,Yes,86,10.0,10.0,One  parent family with dependent children,4.0,2.0,30%,30%,Male,Sales ,Neither agree nor disagree,Between 5 and 19,5.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Strongly disagree,2020,1.0,Metro
Between 1 and 5 years,2.0,I’m 50% less productive when working remotely (or less),1964,"Electricity, Gas, Water and Waste Services",Strongly disagree,Strongly disagree,Somewhat disagree,100% - All of my time,No,87,14.0,12.0,Couple with dependent children,3.0,0.0,Less than 10% of my time,100% - All of my time,Male,Professionals,Somewhat disagree,More than 200,3.0,Somewhat disagree,0.0,Strongly disagree,Somewhat agree,Somewhat disagree,2020,0.2,Metro
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1957,Information Media and Telecommunications,Neither agree nor disagree,Somewhat agree,Strongly agree,10%,Yes,88,8.0,10.0,Couple with dependent children,2.0,2.0,Rarely or never ,10%,Male,Professionals,Neither agree nor disagree,More than 200,2.0,Strongly agree,0.0,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2020,2.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1970,"Professional, Scientific and Technical Services",Strongly agree,Somewhat agree,Strongly agree,80%,No,89,7.0,8.0,One  parent family with dependent children,3.0,2.0,30%,50% - About half of my time,Female,Professionals,Somewhat agree,More than 200,4.0,Strongly agree,0.5,Strongly agree,Somewhat agree,Strongly agree,2020,2.5,Metro
More than 5 years,3.0,I’m 30% more productive when working remotely,1980,Manufacturing,Neither agree nor disagree,Somewhat disagree,Somewhat agree,60%,No,90,1.0,6.0,Couple with dependent children,2.0,2.0,30%,70%,Male,Sales ,Somewhat disagree,More than 200,3.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
More than 5 years,1.0,My productivity is about same when I work remotely,1974,Education and Training,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,100% - All of my time,Yes,91,1.0,1.0,Couple with dependent children,1.0,1.0,100% - I spent all of my time remote working,100% - All of my time,Male,Sales ,Neither agree nor disagree,Between 5 and 19,1.0,Somewhat agree,1.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
More than 5 years,3.0,I’m 50% more productive when working remotely (or more),1960,"Transport, Postal and Warehousing",Somewhat agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,Yes,92,8.0,9.0,Couple with no dependent children,2.0,1.0,Less than 10% of my time,50% - About half of my time,Male,Professionals,Somewhat agree,More than 200,4.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,3.0,Metro
Between 1 and 5 years,1.0,I’m 20% less productive when working remotely,1963,Financial and Insurance Services,Somewhat disagree,Neither agree nor disagree,Strongly agree,20%,No,93,8.0,8.0,Couple with no dependent children,4.0,1.0,10%,10%,Male,Managers,Strongly disagree,Between 1 and 4,4.0,Somewhat agree,0.5,Strongly disagree,Strongly disagree,Somewhat agree,2020,1.5,Metro
Between 6 and 12 months,6.0,My productivity is about same when I work remotely,1986,Retail Trade,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,No,94,7.5,7.5,Other one family household,3.0,3.0,Less than 10% of my time,50% - About half of my time,Female,Sales ,Somewhat agree,Between 20 and 199,5.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,3.0,Metro
Between 6 and 12 months,0.0,I’m 30% less productive when working remotely,2000,Education and Training,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30%,No,95,6.0,0.0,Group household,0.0,0.0,Rarely or never ,I would not have preferred to work remotely ,Male,Professionals,Neither agree nor disagree,Between 20 and 199,0.0,Somewhat disagree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,I’m 10% more productive when working remotely,1971,Wholesale Trade,Neither agree nor disagree,Somewhat agree,Somewhat agree,50% - About half of my time,No,96,8.0,8.0,Couple with dependent children,4.0,2.0,50% - I spent about half of my time remote working,20%,Male,Sales ,Somewhat agree,Between 5 and 19,8.0,Somewhat agree,0.0,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2020,2.5,Regional
Between 6 and 12 months,1.0,I’m 10% more productive when working remotely,1970,Information Media and Telecommunications,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,No,97,8.0,10.0,Single person,4.0,1.0,100% - I spent all of my time remote working,100% - All of my time,Female,Professionals,Strongly agree,Between 20 and 199,2.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,2.0,I’m 10% less productive when working remotely,1964,Retail Trade,Strongly agree,Strongly agree,Strongly agree,20%,No,98,9.0,9.0,Single person,5.0,2.0,Rarely or never ,I would not have preferred to work remotely ,Male,Professionals,Strongly agree,More than 200,4.0,Strongly agree,0.25,Strongly agree,Strongly agree,Somewhat disagree,2020,1.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1960,Health Care and Social Assistance,Somewhat disagree,Somewhat disagree,Somewhat agree,10%,Yes,99,9.0,9.0,Multiple family household,5.0,2.0,Less than 10% of my time,10%,Female,Clerical and administrative ,Somewhat disagree,Between 1 and 4,5.0,Somewhat agree,0.0,Strongly disagree,Somewhat disagree,Somewhat agree,2020,1.5,Metro
More than 5 years,0.0,I’m 20% more productive when working remotely,1962,Financial and Insurance Services,Somewhat agree,Somewhat agree,Somewhat agree,90%,Yes,100,8.0,8.0,Single person,4.0,0.0,Less than 10% of my time,50% - About half of my time,Male,Managers,Somewhat agree,Between 20 and 199,4.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
Between 6 and 12 months,3.0,I’m 50% more productive when working remotely (or more),1974,"Professional, Scientific and Technical Services",Neither agree nor disagree,Somewhat agree,Strongly agree,40%,No,101,4.0,7.0,Couple with dependent children,2.0,3.0,30%,20%,Male,Professionals,Somewhat agree,Between 20 and 199,3.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,2.0,Metro
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1959,Arts and Recreation Services,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,Yes,102,8.0,6.0,Couple with no dependent children,4.0,2.0,60%,50% - About half of my time,Male,Professionals,Somewhat agree,Between 1 and 4,6.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,0.0,I’m 50% more productive when working remotely (or more),1955,Public Administration and Safety,Strongly agree,Strongly agree,Strongly agree,80%,No,103,5.0,8.0,Other one family household,18.0,0.0,10%,40%,Male,Clerical and administrative ,Strongly agree,More than 200,14.0,Strongly agree,2.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,1.5,I’m 20% more productive when working remotely,1960,"Professional, Scientific and Technical Services",Strongly agree,Somewhat agree,Strongly agree,80%,No,104,7.0,7.0,Couple with no dependent children,4.0,1.0,90%,90%,Male,Managers,Somewhat disagree,Between 20 and 199,5.5,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1961,"Professional, Scientific and Technical Services",Neither agree nor disagree,Somewhat agree,Strongly agree,20%,No,105,6.0,7.0,Couple with dependent children,1.0,1.0,Less than 10% of my time,20%,Male,Professionals,Somewhat disagree,More than 200,2.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1959,Financial and Insurance Services,Somewhat agree,Somewhat agree,Somewhat agree,40%,Yes,106,8.0,9.0,Couple with dependent children,4.0,3.0,70%,40%,Male,Professionals,Somewhat agree,Between 5 and 19,4.0,Strongly agree,0.0,Somewhat agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1968,Public Administration and Safety,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,70%,Yes,107,9.0,9.0,Couple with no dependent children,3.0,1.0,60%,70%,Male,Managers,Neither agree nor disagree,Between 5 and 19,4.0,Strongly agree,0.5,Neither agree nor disagree,Strongly agree,Strongly agree,2020,3.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1969,"Professional, Scientific and Technical Services",Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,No,108,8.0,8.0,Couple with dependent children,2.0,2.0,80%,50% - About half of my time,Male,Professionals,Somewhat agree,More than 200,4.0,Strongly agree,1.0,Strongly agree,Strongly agree,Somewhat agree,2020,5.0,Metro
Between 6 and 12 months,3.0,I’m 10% less productive when working remotely,1968,"Transport, Postal and Warehousing",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,70%,Yes,109,6.0,8.0,Couple with dependent children,3.0,3.0,Less than 10% of my time,50% - About half of my time,Male,Sales ,Somewhat agree,Between 20 and 199,3.0,Strongly agree,0.5,Strongly agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1990,Accommodation and Food Services,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,No,110,8.0,9.0,Couple with no dependent children,3.0,2.0,20%,20%,Male,Managers,Strongly agree,Between 20 and 199,3.0,Strongly agree,0.5,Strongly agree,Strongly agree,Neither agree nor disagree,2020,2.0,Metro
More than 5 years,6.0,I’m 50% more productive when working remotely (or more),1960,Other Services,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,No,111,4.0,7.0,Couple with dependent children,4.0,5.0,Rarely or never ,100% - All of my time,Male,Professionals,Strongly agree,More than 200,4.0,Strongly agree,2.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 6 and 12 months,1.0,I’m 30% more productive when working remotely,1994,Financial and Insurance Services,Somewhat agree,Somewhat agree,Strongly agree,40%,No,112,8.0,9.0,Group household,4.0,0.0,20%,40%,Female,Managers,Somewhat agree,More than 200,5.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,0.75,Metro
